elapsedTimeNanoSec, speed, direction
3974171509,-0.0,-0.4707968235015869
3974506978,-0.0,-0.4707968235015869
3985126092,-0.0,-0.4707968235015869
3985473853,-0.0,-0.4707968235015869
3996771925,-0.0,-0.4249061346054077
4020695988,-0.0,-0.4249061346054077
4021135415,-0.0,-0.4249061346054077
4031562655,-0.0,-0.4249061346054077
4031969998,-0.0,-0.4249061346054077
4042221040,-0.0,-0.19962453842163086
4062577394,-0.0,-0.19962453842163086
4062973280,-0.0,-0.19962453842163086
4073131613,-0.0,-0.19962453842163086
4073467967,-0.0,-0.19962453842163086
4083686248,-0.0,0.0
4106991405,-0.0,0.0
4107754894,-0.0,0.0
4117669530,-0.0,0.0
4118391977,-0.0,0.0
4128445988,-0.0,0.0
4128865207,-0.0,0.0
4139068644,-0.0,0.0
4139508592,-0.0,0.0
4149568280,-0.0,0.0
4149909061,-0.0,0.0
4160150884,-0.0,0.0
4160458175,-0.0,0.0
4170644842,-0.0,0.0
4170975102,-0.0,0.0
4181577550,-0.0,0.0
4181941405,-0.0,0.0
4192351665,-0.0,0.0
4193107342,-0.0,0.0
4202943332,-0.0,0.0
4203713332,-0.0,0.0
4214518540,-0.0,0.0
4214906092,-0.0,0.0
4225139165,-0.0,0.0
4225458748,-0.0,0.0
4236095102,-0.0,0.0
4236719425,-0.0,0.0
4247222811,-0.0,0.0
4247612550,-0.0,0.0
4258069165,-0.0,0.0
4258447654,-0.0,0.0
4268634582,-0.0,0.0
4269037550,-0.0,0.0
4279624477,-0.0,0.0
4280061092,-0.0,0.0
4290314894,-0.0,0.0
4290650050,-0.0,0.0
4300802863,-0.0,0.0
4301127602,-0.0,0.0
4311251457,-0.0,0.0
4311617811,-0.0,0.0
4321769217,-0.0,0.0
4322652602,-0.0,0.0
4332531404,-0.0,0.0
4336452863,-0.0,0.0
4343946300,-0.0,0.0
4346954217,-0.0,0.0
4354678332,-0.0,0.0
4357596613,-0.0,0.0
4365260988,-0.0,0.0
4368013332,-0.0,0.0
4375835884,-0.0,0.0
4378392967,-0.0,0.0
4386366613,-0.0,0.0
4388833904,-0.0,0.0
4396778332,-0.0,0.0
4399250623,-0.0,0.0
4407206248,-0.0,0.0
4409656769,-0.0,0.0
4417603488,-0.0,0.0
4420233540,-0.0,0.0
4428012550,-0.0,0.0
4430882863,-0.0,0.0
4438424373,-0.0,0.0
4441449582,-0.0,0.0
4449305415,-0.0,0.0
4451981040,-0.0,0.0
4460211613,-0.0,0.0
4463074009,-0.0,0.0
4471582654,-0.0,0.0
4473516561,-0.0,0.0
4482137290,-0.0,0.011889864690601826
4509855675,-0.0,0.011889864690601826
4510200102,-0.0,0.011889864690601826
4520927550,-0.0,0.045264918357133865
4560157498,-0.0,0.09115561097860336
4584377706,-0.0,0.09115561097860336
4585156300,-0.0,0.09115561097860336
4595231717,-0.0,0.09115561097860336
4595665571,-0.0,0.09115561097860336
4606101248,-0.0,0.1453900784254074
4636159477,-0.0,0.1453900784254074
4636670415,-0.0,0.1453900784254074
4646931561,-0.0,0.1579057276248932
4692027081,-0.0,0.18710888922214508
4735911456,-0.0,0.1912807673215866
4778912602,-0.0,0.19545264542102814
4779375727,-0.0,0.19545264542102814
4792171404,-0.0,0.19545264542102814
4792842915,-0.0,0.19545264542102814
4803284477,-0.0,0.19545264542102814
4803891977,-0.0,0.19545264542102814
4814031821,-0.0,0.19545264542102814
4814374790,-0.0,0.19545264542102814
4824851404,-0.0,0.19545264542102814
4825226300,-0.0,0.19545264542102814
4835583279,-0.0,0.19545264542102814
4836005467,-0.0,0.19545264542102814
4846124686,-0.0,0.19962453842163086
4846580258,-0.0,0.19962453842163086
4857410154,-0.0,0.19962453842163086
4857789008,-0.0,0.19962453842163086
4868547498,-0.0,0.19962453842163086
4868963956,-0.0,0.19962453842163086
4879495675,-0.0,0.19962453842163086
4879876248,-0.0,0.19962453842163086
4890326977,-0.0,0.19962453842163086
4890714008,-0.0,0.19962453842163086
4901326613,-0.0,0.19962453842163086
4901713071,-0.0,0.19962453842163086
4911935467,-0.0,0.19962453842163086
4912273019,-0.0,0.19962453842163086
4922980310,-0.0,0.19962453842163086
4923397602,-0.0,0.19962453842163086
4933555206,-0.0,0.19962453842163086
4933969008,-0.0,0.19962453842163086
4944277394,-0.0,0.19962453842163086
4944736300,-0.0,0.19962453842163086
4955151352,-0.0,0.19962453842163086
4955901404,-0.0,0.19962453842163086
4966464425,-0.0,0.19962453842163086
4966939790,-0.0,0.19962453842163086
4977074321,-0.0,0.19962453842163086
4977447290,-0.0,0.19962453842163086
4987608592,-0.0,0.19962453842163086
4988056560,-0.0,0.19962453842163086
4998176300,-0.0,0.19962453842163086
4998511300,-0.0,0.19962453842163086
5008779998,-0.0,0.19962453842163086
5009132654,-0.0,0.19962453842163086
5019730779,-0.0,0.19962453842163086
5020292185,-0.0,0.19962453842163086
5031127758,-0.0,0.19962453842163086
5031439008,-0.0,0.19962453842163086
5041545779,-0.0,0.19962453842163086
5041883071,-0.0,0.19962453842163086
5052078435,-0.0,0.19962453842163086
5052387238,-0.0,0.19962453842163086
5062438592,-0.0,0.19962453842163086
5062750727,-0.0,0.19962453842163086
5072825935,-0.0,0.19962453842163086
5073118852,-0.0,0.19962453842163086
5083176404,-0.0,0.19962453842163086
5083488644,-0.0,0.19962453842163086
5093535519,-0.0,0.19962453842163086
5093850310,-0.0,0.19962453842163086
5103887185,-0.0,0.19962453842163086
5104251404,-0.0,0.19962453842163086
5114354425,-0.0,0.19962453842163086
5114740258,-0.0,0.19962453842163086
5124853331,-0.0,0.20796829462051392
5156478383,-0.0,0.20796829462051392
5156802654,-0.0,0.2830621600151062
5197230519,-0.0,0.5
5222913540,-0.0,0.5
5223425779,-0.0,0.5
5233808904,-0.0,0.5
5234435935,-0.0,0.5
5244436769,-0.0,0.5
5244904321,-0.0,0.5
5255022967,-0.0,0.5
5256007185,-0.0,0.5
5265685987,-0.0,0.5
5266523696,-0.0,0.5
5276294998,-0.0,0.5
5276939633,-0.0,0.5
5286678904,-0.0,0.5
5287338644,-0.0,0.5
5297013331,-0.0,0.5
5297767602,-0.0,0.5
5307407133,-0.0,0.5
5308212706,-0.0,0.5
5317873696,-0.0,0.5
5318686508,-0.0,0.5
5328512862,-0.0,0.5
5329134737,-0.0,0.5
5338988748,-0.0,0.5
5339604894,-0.0,0.5
5349411717,-0.0,0.5
5350122654,-0.0,0.5
5360012237,-0.0,0.5
5360758227,-0.0,0.5
5370563019,-0.0,0.5
5372674425,-0.0,0.5
5380998852,-0.0,0.5
5383182289,-0.0,0.5
5391409112,-0.0,0.5
5393597862,-0.0,0.5
5402144164,-0.0,0.5
5404037967,-0.0,0.5
5412928279,-0.0,0.5
5414527029,-0.0,0.5
5423324373,-0.0,0.5
5425104112,-0.0,0.5
5433915362,-0.0,0.5
5435853539,-0.0,0.5
5444343904,-0.0,0.19545264542102814
5478511977,-0.0,0.19545264542102814
5479029789,-0.0,0.19545264542102814
5489010675,-0.0,0.19545264542102814
5489779998,-0.0,0.19545264542102814
5500079842,-0.0,0.0
5534655831,-0.0,0.0
5534921352,-0.0,0.0
5545228071,-0.0,0.0
5545609216,-0.0,0.0
5556110466,-0.0,0.0
5556440466,-0.0,0.0
5566632237,-0.0,0.0
5566990883,-0.0,0.0
5577072966,-0.0,0.0
5577463279,-0.0,0.0
5587568904,-0.0,0.0
5587986039,-0.0,0.0
5598063019,-0.0,0.0
5598333435,-0.0,0.0
5608567289,-0.0,0.0
5608924998,-0.0,0.0
5618953019,-0.0,0.0
5619257341,-0.0,0.0
5629463904,-0.0,0.0
5629762498,-0.0,0.0
5640096716,-0.0,0.0
5640397498,-0.0,0.0
5650385987,-0.0,0.0
5650784321,-0.0,0.0
5660742289,-0.0,0.0
5661160310,-0.0,0.0
5671061091,-0.0,0.0
5671503591,-0.0,0.0
5681609581,-0.0,0.0
5681924998,-0.0,0.0
5691910987,-0.0,-0.2371714860200882
5722797237,-0.0,-0.2371714860200882
5723084581,-0.0,-0.2371714860200882
5733180310,-0.0,-0.46245306730270386
5757029373,-0.0,-0.46245306730270386
5757562394,-0.0,-0.5
5807054060,-0.0,-0.41656237840652466
5830837185,-0.0,-0.41656237840652466
5831385154,-0.0,-0.41656237840652466
5841386404,-0.0,-0.41656237840652466
5842443018,-0.0,-0.41656237840652466
5852024321,-0.0,-0.14956195652484894
5885066352,-0.0,0.0
5926385675,-0.0,0.0
5927419164,-0.0,0.0
5937097237,-0.0,0.0
5937878487,-0.0,0.0
5947529268,-0.0,0.0
5948325206,-0.0,0.0
5958741404,-0.0,0.0
5959292446,-0.0,0.0
5969129164,-0.0,0.0
5969721560,-0.0,0.0
5979501664,-0.0,0.0
5980208800,-0.0,0.0
5989885258,-0.0,0.0
5990608175,-0.0,0.0
6000494008,-0.0,0.0
6001338591,-0.0,0.0
6011339216,-0.0,0.0
6011681404,-0.0,0.0
6021675258,-0.0,0.0
6023885518,-0.0,0.0
6032073175,-0.0,0.0
6035799685,-0.0,0.0
6043098279,-0.0,0.0
6046641143,-0.0,0.0
6053678904,-0.0,0.0
6057098383,-0.0,0.0
6064238643,-0.0,0.0
6067543539,-0.0,0.0
6074845414,-0.0,0.0
6078004425,-0.0,-0.20796829462051392
6106710102,-0.0,-0.20796829462051392
6107149425,-0.0,-0.20796829462051392
6117558800,-0.0,-0.5
6134132237,-0.0,-0.5
6134520050,-0.0,-0.5
6144547341,-0.0,-0.5
6144884477,-0.0,-0.5
6155034164,-0.0,-0.5
6155391195,-0.0,-0.5
6165591248,-0.0,-0.5
6165992914,-0.0,-0.5
6176094945,-0.0,-0.5
6176423070,-0.0,-0.5
6186864841,-0.0,-0.5
6187256300,-0.0,-0.5
6197325987,-0.0,-0.5
6197680831,-0.0,-0.5
6207829633,-0.0,-0.27471840381622314
6230109997,-0.0,-0.27471840381622314
6231104268,-0.0,-0.27471840381622314
6240778539,-0.0,-0.007717983331531286
6257536716,-0.0,-0.007717983331531286
6258015154,-0.0,-0.007717983331531286
6268856768,-0.0,-0.007717983331531286
6270533435,-0.0,-0.007717983331531286
6279852341,-0.0,0.0
6281972810,-0.0,0.0
6290492966,-0.0,0.0
6292755883,-0.0,0.0
6301086456,-0.0,0.0
6303366560,-0.0,0.0
6311730622,-0.0,0.0
6313908227,-0.0,0.0
6322301143,-0.0,0.0
6324476925,-0.0,0.0
6332924737,-0.0,0.0
6334882550,-0.0,0.0
6343320675,-0.0,0.0
6345303435,-0.0,0.0
6353687393,-0.0,0.0
6355698591,-0.0,0.0
6364134216,-0.0,0.0
6366074529,-0.0,0.0
6375238591,-0.0,0.0
6376902393,-0.0,0.0
6385700518,-0.0,0.0
6387330883,-0.0,0.0
6396131456,-0.0,0.0
6397710518,-0.0,0.0
6406946352,-0.0,0.0
6408214008,-0.0,0.0
6417398175,-0.0,0.0
6419102602,-0.0,0.0
6427828591,-0.0,0.0
6429605414,-0.0,0.0
6438456195,-0.0,0.0
6440098018,-0.0,0.0
6449152133,-0.0,0.0
6450579737,-0.0,0.0
6459847706,-0.0,0.0
6461097237,-0.0,0.0
6470225987,-0.0,0.0
6471483227,-0.0,0.0
6480785935,-0.0,0.0
6481968904,-0.0,0.0
6491222081,-0.0,0.0
6493051143,-0.0,0.0
6502250727,-0.0,0.0
6503476456,-0.0,0.0
6513339268,-0.0,0.0
6513857029,-0.0,0.0
6523763331,-0.0,0.0
6524236039,-0.0,0.0
6537920310,-0.0,0.0
6538290154,-0.0,0.0
6548228747,-0.0,0.0
6548670362,-0.0,0.0
6558553435,-0.0,0.0
6559067966,-0.0,0.0
6568901352,-0.0,0.21631205081939697
6592284685,-0.0,0.21631205081939697
6592542497,-0.0,0.21631205081939697
6602620779,-0.0,0.5
6636833539,-0.0,0.3289528787136078
6673745258,-0.0,0.3289528787136078
6674143122,-0.0,0.3289528787136078
6684472393,-0.0,0.0
6719338174,-0.0,0.0
6720275154,-0.0,0.0
6730429424,-0.0,0.0
6730814372,-0.0,0.0
6741115049,-0.0,0.0
6741508851,-0.0,0.0
6751872289,-0.0,0.0
6752359737,-0.0,0.0
6762555674,-0.0,0.0
6763033539,-0.0,0.0
6773150414,-0.0,0.0
6775554112,-0.0,0.0
6783905049,-0.0,0.0
6786002706,-0.0,0.0
6794464112,-0.0,0.0
6796605414,-0.0,0.0
6805800883,-0.0,0.0
6806997029,-0.0,0.0
6816245206,-0.0,0.0
6817499737,-0.0,0.0
6826644685,-0.0,0.0
6827940049,-0.0,0.0
6837026299,-0.0,0.0
6839238487,-0.0,0.0
6847522393,-0.0,0.0
6849824424,-0.0,0.0
6857907601,-0.0,0.0
6860321195,-0.0,0.0
6868384997,-0.0,0.0
6870892341,-0.0,0.0
6879072810,-0.0,0.0
6881560883,-0.0,0.0
6889844841,-0.0,0.0
6892354893,-0.0,0.0
6900493122,-0.0,0.0
6902783903,-0.0,0.0
6911071560,-0.0,0.0
6913311872,-0.0,0.0
6921762289,-0.0,0.007717983331531286
6923823487,-0.0,0.007717983331531286
6932586924,-0.0,0.007717983331531286
6934317028,-0.0,0.007717983331531286
6943202758,-0.0,0.007717983331531286
6944872341,-0.0,0.007717983331531286
6953869737,-0.0,0.007717983331531286
6955875310,-0.0,0.007717983331531286
6964792862,-0.0,0.02857738919556141
6987913278,-0.0,0.02857738919556141
6988271612,-0.0,0.02857738919556141
6998239528,-0.0,0.0
7021353174,-0.0,0.0
7021931351,-0.0,0.0
7031972289,-0.0,0.0
7032401039,-0.0,0.0
7042599424,-0.0,0.0
7043015466,-0.0,0.0
7053259268,-0.0,0.0
7053601351,-0.0,0.0
7064469372,-0.0,0.0
7064926299,-0.0,0.0
7074797341,-0.0,0.0
7075337966,-0.0,0.0
7085254424,-0.0,0.0
7085859893,-0.0,0.0
7099677758,-0.0,0.0
7100025153,-0.0,0.0
